Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,month,day,Total_power_use
0.192,0.116,234.85,1.0,0,0,0,7,29,0
0.252,0.066,236.17,1.0,0,0,1,5,5,1
2.236,0.238,245.92,9.0,0,0,19,1,15,19
0.42,0.094,240.7,2.0,0,0,1,7,29,1
1.81,0.048,237.96,7.6,0,0,18,10,6,18
1.426,0.048,239.95,5.8,0,1,19,2,21,20
0.296,0.136,240.91,1.4,0,0,0,5,31,0
0.324,0.094,241.45,1.4,0,0,0,5,2,0
0.346,0.078,242.15,1.4,0,0,1,2,27,1
0.486,0.346,246.05,2.4,0,1,0,3,16,1
0.742,0.224,241.97,3.2,0,0,1,9,18,1
3.058,0.0,237.85,13.4,28,0,17,12,3,45
2.31,0.17,240.17,9.6,1,0,17,2,24,18
4.196,0.186,235.84,18.0,1,2,17,10,18,20
0.376,0.186,244.43,1.8,0,0,1,9,6,1
3.578,0.254,234.41,15.2,1,36,17,6,9,54
0.18,0.0,240.43,1.0,0,0,1,8,16,1
3.516,0.284,234.21,15.0,0,1,17,11,4,18
1.298,0.108,241.1,5.4,0,0,18,7,12,18
0.508,0.0,241.98,2.0,0,0,0,3,4,0
0.296,0.24,243.39,1.4,0,2,0,9,23,2
0.278,0.064,243.23,1.2,0,0,1,10,4,1
0.332,0.092,242.33,1.4,0,0,1,3,2,1
0.226,0.0,248.02,0.8,0,0,0,12,19,0
1.338,0.0,243.25,5.4,0,0,1,10,7,1
1.408,0.0,243.23,5.8,0,0,19,4,28,19
0.268,0.162,244.02,1.4,0,0,1,8,5,1
2.132,0.0,244.36,8.6,0,0,18,1,7,18
0.39,0.224,241.07,1.8,0,1,0,7,14,1
2.026,0.19,236.59,8.6,0,0,0,12,6,0
0.698,0.066,237.95,3.0,0,0,0,11,7,0
2.202,0.21,242.43,9.0,0,0,18,5,8,18
0.616,0.188,242.05,2.8,0,0,0,11,2,0
0.968,0.202,238.69,4.0,0,0,12,5,16,12
0.28,0.092,242.0,1.4,0,1,0,8,16,1
0.288,0.114,241.56,1.4,0,0,0,7,8,0
2.39,0.074,237.63,10.0,1,2,17,9,13,20
2.334,0.064,239.61,9.8,0,0,0,2,11,0
1.498,0.064,242.21,6.2,0,0,18,10,7,18
1.326,0.196,241.6,5.4,0,17,0,8,20,17
5.87,0.466,229.51,25.6,36,0,16,12,30,52
0.31,0.0,240.25,1.4,0,0,1,4,14,1
3.198,0.0,235.49,14.0,0,0,18,6,20,18
0.228,0.0,245.76,1.0,0,0,0,2,25,0
0.32,0.0,247.13,1.4,0,0,0,3,6,0
0.274,0.21,240.95,1.4,0,1,0,7,6,1
1.762,0.0,238.92,7.4,0,0,17,12,6,17
0.618,0.126,242.18,2.8,0,0,1,4,14,1
0.116,0.0,241.19,0.6,0,0,0,4,21,0
0.208,0.118,241.03,1.0,0,2,0,7,12,2
0.284,0.208,240.27,1.4,0,2,0,8,21,2
0.266,0.124,242.08,1.2,0,0,1,7,31,1
0.406,0.232,241.44,2.0,0,2,0,6,3,2
1.424,0.072,236.05,6.0,0,0,17,6,6,17
1.696,0.096,238.74,7.0,0,0,17,12,22,17
1.604,0.0,241.11,6.6,0,0,18,3,25,18
0.216,0.124,240.91,1.0,0,1,0,9,24,1
0.252,0.0,243.08,1.0,0,0,0,5,4,0
0.368,0.1,241.09,1.6,0,1,1,2,22,2
0.35,0.106,241.13,1.4,0,0,1,10,14,1
0.332,0.232,242.07,1.6,0,0,1,7,3,1
0.274,0.066,238.19,1.2,0,0,0,10,30,0
0.358,0.216,236.38,1.8,0,0,0,7,28,0
1.58,0.142,241.97,6.4,0,1,18,10,19,19
1.898,0.188,240.83,7.8,0,4,18,1,17,22
0.378,0.132,240.53,1.6,0,0,0,7,8,0
0.422,0.116,242.03,1.8,0,0,1,5,2,1
0.38,0.0,243.36,1.6,0,0,0,10,15,0
0.508,0.332,246.1,2.4,0,1,0,11,27,1
2.98,0.0,243.42,12.6,4,0,19,12,24,23
